Date,Link,Title
2019-04-23,https://medium.com/@emailbivas/the-new-google-maps-in-ar-587285a5d523?source=topic_page---------9------------------1,The New Google Maps in AR
2019-04-23,https://medium.com/@lance.eliot/proactive-defensive-driving-for-driverless-cars-missing-link-must-have-88530f19a92d?source=topic_page---------0------------------1,Proactive Defensive Driving for Driverless Cars Missing Link Must Have
2019-04-23,https://medium.com/1-one-infinity/the-alphabet-of-ai-8e8c7ebc6ce2?source=topic_page---------1------------------1,The alphabet of AI
2019-04-23,https://medium.com/@iraszl/exponential-technologies-will-make-virtually-all-jobs-obsolete-so-what-can-you-do-about-it-4663b8d13b83?source=topic_page---------2------------------1,Exponential technologies will make virtually all jobs obsolete so what can you do about it?
2019-04-23,https://medium.com/@abhijeet5793/convolutional-recurrent-neural-networks-cc926e16fa89?source=topic_page---------4------------------1,Convolutional Recurrent Neural Networks
2019-04-23,https://towardsdatascience.com/robots-aging-population-and-pets-c84cdd5214cb?source=topic_page---------5------------------1,Robots Aging Population and Pets
2019-04-23,https://towardsdatascience.com/no-machine-learning-does-not-make-understanding-obsolete-22ef3e2515d5?source=topic_page---------6------------------1,No Machine Learning Does Not Make Understanding Obsolete
2019-04-23,https://medium.com/@lpk_61328/engineering-ai-e310b8044d78?source=topic_page---------7------------------1,Engineering AI
2019-04-23,https://medium.com/@tiarks.a/can-ai-help-active-funds-deliver-f13edd5b3075?source=topic_page---------8------------------1,Can AI Help Active Funds Deliver?
2019-04-23,https://medium.com/the-guardian/facial-recognition-is-big-techs-latest-toxic-gateway-app-596375778cb1?source=topic_page---------9------------------1,Facial Recognition Is Big Tech’s Latest Toxic ‘Gateway’ App
2019-04-23,https://towardsdatascience.com/can-ai-robots-rebel-against-us-as-shown-in-films-8fd83e11a254?source=topic_page---------10------------------1,Can AI Robots Rebel Against Us as Shown in Films?
2019-04-23,https://medium.com/sigmoid/a-brief-introduction-to-gans-and-how-to-code-them-2620ee465c30?source=topic_page---------0------------------1,A Brief Introduction To GANs (and how to code them)
2019-04-23,https://itnext.io/kubeflow-on-gpu-enabled-aws-eks-cluster-7c5d88c09d9b?source=topic_page---------1------------------1,Kubeflow on GPU Enabled AWS-EKS Cluster
2019-04-23,https://medium.com/@abhijeet5793/convolutional-recurrent-neural-networks-cc926e16fa89?source=topic_page---------2------------------1,Convolutional Recurrent Neural Networks
2019-04-23,https://towardsdatascience.com/no-machine-learning-does-not-make-understanding-obsolete-22ef3e2515d5?source=topic_page---------4------------------1,No Machine Learning Does Not Make Understanding Obsolete
2019-04-23,https://towardsdatascience.com/autoencoders-deep-learning-with-tensorflows-eager-api-data-stuff-378318784ae?source=topic_page---------5------------------1,Autoencoders: Deep Learning with TensorFlow’s Eager API | Data Stuff
2019-04-23,https://medium.com/ai-ml-at-symantec/ai-ml-security-pro-tips-class-imbalance-and-missing-labels-764fd18b7bf8?source=topic_page---------6------------------1,AI/ML Security Pro Tips: Class Imbalance and Missing Labels
2019-04-23,https://medium.com/the-data-league/the-mathematics-and-intuitions-of-principal-component-analysis-pca-using-truncated-singular-b4944e5e95e6?source=topic_page---------7------------------1,The mathematics and Intuitions of Principal Component Analysis (PCA) Using Truncated Singular…
2019-04-23,https://medium.com/syncedreview/google-debuts-tensorflow-2-0-alpha-ef1e01180c29?source=topic_page---------8------------------1,Google Debuts TensorFlow 2.0 Alpha
2019-04-23,https://medium.com/@sachinkun21/machine-learning-using-tensorflow-for-absolute-beginners-9268973651b9?source=topic_page---------9------------------1,Machine learning using TensorFlow for Absolute Beginners
2019-04-23,https://medium.com/@sursthatte/tips-for-effective-data-visualization-d4b2af91db37?source=topic_page---------0------------------1,Tips for Effective Data Visualization
2019-04-23,https://medium.com/@nallagatla/a-brief-primer-on-data-science-and-what-it-can-do-for-your-business-cc723f3d911c?source=topic_page---------1------------------1,A Brief Primer on Data Science and What It Can Do for Your Business
2019-04-23,https://towardsdatascience.com/decision-making-is-more-than-quantitative-problem-solving-ac6365a9ec16?source=topic_page---------2------------------1,Decision Making Is More Than Quantitative Problem Solving
2019-04-23,https://towardsdatascience.com/a-new-data-scientists-reflections-on-culture-progress-technology-70054782880f?source=topic_page---------4------------------1,A New Data Scientist’s Reflections on Culture Progress & Technology
2019-04-23,https://towardsdatascience.com/how-much-extra-for-one-square-metre-a1bafc061d70?source=topic_page---------5------------------1,How much extra for one square metre?
2019-04-23,https://towardsdatascience.com/autoencoders-deep-learning-with-tensorflows-eager-api-data-stuff-378318784ae?source=topic_page---------6------------------1,Autoencoders: Deep Learning with TensorFlow’s Eager API | Data Stuff
2019-04-23,https://medium.com/beirut-ai/all-you-need-to-know-to-break-into-the-data-world-and-machine-learning-a2c3bd3879ac?source=topic_page---------7------------------1,All You Need to Know to break into the Data World and Machine Learning
2019-04-23,https://medium.com/the-data-league/the-mathematics-and-intuitions-of-principal-component-analysis-pca-using-truncated-singular-b4944e5e95e6?source=topic_page---------8------------------1,The mathematics and Intuitions of Principal Component Analysis (PCA) Using Truncated Singular…
2019-04-23,https://hackernoon.com/high-level-overview-of-apache-spark-c225a0a162e9?source=topic_page---------9------------------1,High Level Overview of Apache Spark
2019-04-23,https://www.actuia.com/actualite/deep-tech-annonce-de-quatre-nouveaux-laureats-suite-a-lami-french-tech-seed/,Deep Tech : Annonce de quatre nouveaux lauréats suite à l’AMI...
2019-04-23,https://www.actuia.com/actualite/replay-quelles-sont-les-reelles-capacites-de-lintelligence-artificielle-par-rapport-aux-axes-cognitifs-humain-une-emission-proposee-par-697ia/,Replay : Quelles sont les réelles capacités de l’intelligence artificielle par...
2019-04-23,https://www.actuia.com/actualite/suivez-leuropean-ai-night-en-direct/,Suivez l’European AI Night en direct
2019-04-23,https://www.actuia.com/actualite/health-data-hub-2019-annonce-des-10-laureats-du-premier-appel-a-projets/,HEALTH DATA HUB 2019 : Annonce des 10 lauréats du premier...
2019-04-23,https://www.actuia.com/actualite/des-chercheurs-de-linserm-utilisent-lintelligence-artificielle-pour-evaluer-de-la-toxicite-des-substances-chimiques/,Des chercheurs de l’Inserm utilisent l’intelligence artificielle pour évaluer la toxicité...
2019-04-23,https://www.actuia.com/actualite/ia-et-neurosciences-rencontre-avec-alexandre-gramfort-chercheur-inria-saclay-et-membre-de-lequipe-projet-parietal/,IA et Neurosciences : Rencontre avec Alexandre Gramfort chercheur INRIA Saclay...
2019-04-23,https://www.actuia.com/actualite/ai-challenge-for-health-le-challenge-en-intelligence-artificielle-appliquee-a-la-cancerologie-lance-par-gustave-roussy-et-la-region-ile-de-france/,AI Challenge for Health : le challenge en intelligence artificielle appliquée...
2019-04-23,https://www.actuia.com/actualite/medicen-paris-region-et-paris-region-entreprises-usa-devoilent-les-8-start-ups-laureates-de-ledition-2019-de-softlanding-boston/,Medicen Paris Region et Paris Region Entreprises USA dévoilent les 8...
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/causality-the-next-most-important-thing-in-ai-ml,Causality – The Next Most Important Thing in AI/ML
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/democratizing-deep-learning-the-stanford-dawn-project,Democratizing Deep Learning – The Stanford Dawn Project
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/data-science-central-weekly-digest-april-22,Data Science Central Weekly Digest April 22
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/what-are-the-machine-learning-problems-that-haven-t-been-solved,Unsolved Problems in Machine Learning
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/data-curation-weaving-raw-data-into-business-gold,Data Curation: Weaving Raw Data into Business Gold
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/an-overview-of-microsoft-s-network-based-interconnect,An Overview of Microsoft’s Network-Based Interconnect
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/using-data-visualization-graphs-for-better-decision-making-in,Using Data Visualization Graphs for Better Decision Making in Digital Marketing
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/5-dimensions-to-consider-for-governments-turning-to-ai,5 Dimensions to Consider for Governments Turning to AI
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/what-my-first-silver-medal-taught-me-about-text-classification,What my first Silver Medal taught me about Text Classification and Kaggle in general?
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/15-great-articles-about-bayesian-methods-and-networks,15 Great Articles about Bayesian Methods and Networks
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/14-great-articles-and-tutorials-on-clustering,34 Great Articles and Tutorials on Clustering
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/maximizing-sales-with-market-basket-analysis,Maximizing Sales with Market Basket Analysis
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/why-data-science-development-process-is-like-playing-game-boy,Why Data Science Development Process is like Playing Game Boy® Final Fantasy
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/understanding-greedy-classifiers-with-a-real-world-example,Understanding Greedy Classifiers with a Real-World Example
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/data-science-vs-decision-science-infographic,Data Science vs. Decision Science [Infographic]
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/how-to-mimic-evolution-for-machine-learning-tasks,How To Mimic Evolution For Machine Learning Tasks
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/please-explain-interpretability-of-black-box-machine-learning,“Please explain.” Interpretability of black-box machine learning models
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/what-is-the-difference-between-ai-and-machine-learning,What is the Difference Between AI and Machine Learning
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/reinforcement-learning-explained-overview-comparisons-and,Reinforcement Learning Explained: Overview Comparisons and Applications in Business
2019-04-23,https://www.datasciencecentral.com/profiles/blogs/real-time-analytics-and-stream-processing,Real Time Analytics and Stream Processing
2019-04-23,https://itsocial.fr/articles-decideurs/cybersecurite-adaptative-professionnels-de-securite-revent-dia/,Cybersécurité adaptative les professionnels de la sécurité rêvent d’IA
2019-04-23,https://itsocial.fr/articles-decideurs/acteurs-de-linformatique-quantique/,Qui sont les acteurs de l’informatique quantique ?
2019-04-23,https://itsocial.fr/articles-decideurs/secteur-financier-mise-cloud-hybride/,Le secteur financier mise sur le cloud hybride
2019-04-23,http://approximatelycorrect.com/2019/02/17/openai-trains-language-model-mass-hysteria-ensues/,OpenAI Trains Language Model Mass Hysteria Ensues
2019-04-23,http://approximatelycorrect.com/2019/02/13/when-are-predictions-policies/,When are predictions policies?
2019-04-23,http://approximatelycorrect.com/2018/12/22/the-greatest-trade-show-north-of-vegas-pressing-lessons-neurips-2018/,The Greatest Trade Show North of Vegas (Pressing Lessons from NeurIPS 2018)
2019-04-23,http://approximatelycorrect.com/2018/11/18/is-this-a-paper-review/,Is This a Paper Review?
2019-04-23,http://approximatelycorrect.com/2018/07/10/troubling-trends-in-machine-learning-scholarship/,Troubling Trends in Machine Learning Scholarship
2019-04-23,http://approximatelycorrect.com/2018/06/22/the-blockchain-bubble-will-pop-what-next/,The Blockchain Bubble will Pop What Next?
2019-04-23,http://approximatelycorrect.com/2018/06/05/ai-ml-ai-swirling-nomenclature-slurried-thought/,From AI to ML to AI: On Swirling Nomenclature & Slurried Thought
2019-04-23,http://approximatelycorrect.com/2018/05/09/ai-researcher-joins-johnson-johnson-to-make-more-than-19-squillion/,AI Researcher Joins Johnson & Johnson to Make More than $19 Squillion
2019-04-23,http://approximatelycorrect.com/2018/03/02/defending-adversarial-examples-using-gans/,Leveraging GANs to combat adversarial examples
2019-04-23,http://approximatelycorrect.com/2018/01/29/heuristics-technical-scientific-writing-machine-learning-perspective/,Heuristics for Scientific Writing (a Machine Learning Perspective)
2019-04-23,https://www.kdnuggets.com//2019/04/top-10-coding-mistakes-data-scientists.html,Top 10 Coding Mistakes Made by Data Scientists
2019-04-23,https://www.kdnuggets.com//2019/03/another-10-free-must-read-books-for-machine-learning-and-data-science.html,Another 10 Free Must-Read Books for Machine Learning and Data Science
2019-04-23,https://www.kdnuggets.com//2019/04/recognize-good-data-scientist-job-from-bad.html,How to Recognize a Good Data Scientist Job From a Bad One
2019-04-23,https://www.kdnuggets.com//2018/05/simplilearn-9-must-have-skills-data-scientist.html,9 Must-have skills you need to become a Data Scientist updated
2019-04-23,https://www.kdnuggets.com//2019/04/introduction-time-series-forecasting-simple-neural-networks-lstm.html,An Introduction on Time Series Forecasting with Simple Neural Networks & LSTM
2019-04-23,https://www.kdnuggets.com//2019/03/random-forest-python.html,Explaining Random Forest (with Python Implementation)
2019-04-23,https://www.kdnuggets.com//2019/04/predict-age-gender-using-convolutional-neural-network-opencv.html,Predict Age and Gender Using Convolutional Neural Network and OpenCV
2019-04-23,https://www.kdnuggets.com//2019/03/artificial-neural-networks-optimization-genetic-algorithm-python.html,Artificial Neural Networks Optimization using Genetic Algorithm with Python
2019-04-23,https://www.kdnuggets.com//2019/04/another-10-free-must-see-courses-machine-learning-data-science.html,Another 10 Free Must-See Courses for Machine Learning and Data Science
2019-04-23,https://www.kdnuggets.com//2019/04/top-10-coding-mistakes-data-scientists.html,Top 10 Coding Mistakes Made by Data Scientists
2019-04-23,https://www.kdnuggets.com//2019/03/r-vs-python-data-visualization.html,R vs Python for Data Visualization
2019-04-23,https://www.kdnuggets.com//2019/03/simplilearn-8-reasons-microsoft-azure-certification.html,8 Reasons Why You Should Get a Microsoft Azure Certification
2019-04-23,https://www.kdnuggets.com//2019/03/deep-learning-toolset-overview.html,The Deep Learning Toolset — An Overview
2019-04-23,https://www.kdnuggets.com//2019/03/work-data-science-ai-big-data.html,How To Work In Data Science AI Big Data
